	label	par	sentences
11	2	"Cookies. Ubisoft uses cookies on the Services. A ""cookie"" is a small bit of record-keeping information that web sites often store on a user's computer. Cookies do not include people's names, e-mail addresses, or other information that is personally identifiable; they are typically used to quickly identify a user's computer and to ""remember"" things about the user's visit. Ubisoft may set cookies for your web browser as you visit our websites, use our products or visit a website where Ubisoft provides ads, content or analytics. For example, Ubisoft uses cookies to keep track of selected items in your shopping cart on our online store and to remember your Account identifier. You can disable cookies or set your browser to alert you when cookies are being sent to your computer, although this may affect your ability to shop online or to access certain features of our Services. Each browser is different, so check the ""Help"" menu of your browser to learn how to change your cookie preferences. In addition to Ubisoft using cookies on our network of websites, Ubisoft may allow certain partners to set and access their cookies on your computer. These companies use of cookies is subject to their own privacy policies, not the Ubisoft Privacy Policy. Please review them carefully. For more information about cookies, please see -url-. You can see the list of companies that may implement and/or access cookies on your computer, mobile or device, and how to opt-out to such cookies at -url-"	"Cookies.|||Ubisoft uses cookies on the Services.|||A ""cookie"" is a small bit of record-keeping information that web sites often store on a user's computer.|||Cookies do not include people's names, e-mail addresses, or other information that is personally identifiable; they are typically used to quickly identify a user's computer and to ""remember"" things about the user's visit.|||Ubisoft may set cookies for your web browser as you visit our websites, use our products or visit a website where Ubisoft provides ads, content or analytics.|||For example, Ubisoft uses cookies to keep track of selected items in your shopping cart on our online store and to remember your Account identifier.|||You can disable cookies or set your browser to alert you when cookies are being sent to your computer, although this may affect your ability to shop online or to access certain features of our Services.|||Each browser is different, so check the ""Help"" menu of your browser to learn how to change your cookie preferences.|||In addition to Ubisoft using cookies on our network of websites, Ubisoft may allow certain partners to set and access their cookies on your computer.|||These companies use of cookies is subject to their own privacy policies, not the Ubisoft Privacy Policy.|||Please review them carefully.|||For more information about cookies, please see -url-.|||You can see the list of companies that may implement and/or access cookies on your computer, mobile or device, and how to opt-out to such cookies at -url-"
12	2	IP addresses. Ubisoft also keep tracks of Internet Protocol (IP) addresses for safety and security reasons. An IP address is a number that is used by computers on the network to identify your computer every time you log on to the Internet.	IP addresses.|||Ubisoft also keep tracks of Internet Protocol (IP) addresses for safety and security reasons.|||An IP address is a number that is used by computers on the network to identify your computer every time you log on to the Internet.
13	2	Other passively collected information. UBISOFT may on its own, or with the help of third party analytics tools, collect non-personally identifiable information concerning your and other users’ gaming hardware, habits, behaviours and use of our Services. UBISOFT collects such information to better adapt our Services to users’ interests and for a better quality of our Services. The information collected may contain the following, without limitation: device unique identity, including MAC address, console, mobile, tablet and console unique identifier or other device identifiers and settings, internet provider, carrier, operating system, hardware information, localization information, date and time spent on the Services, game scores, game metrics, achievements, rankings, time played and statistics, feature usage, advertising conversion rates, monetization rate, purchase history and other similar information. UBISOFT uses third party ad serving technologies that may collect information as a result of ad serving in the Services and that may display behavioural and non-behavioural advertisements on our Services. The information collected and used for the targeted advertising may contain the following, without limitation: age and gender, number views of an advertisement, device unique identity or other device identifiers and settings, information about Your use of the products and Services, Compatible Mobile Terminal, and other Internet sites (including third party web pages and mobile Internet sites) viewed by you (as well as date and time viewed), advertisement(s) served, the advertisement(s)’ in game location and length, and your response to the advertisement(s) (if any). The analytics tools and ad serving technologies may use server log files, web beacons, cookies, tracking pixels and other technologies to collect said information and may combine the information collected on other UBISOFT Services with information collected from other third party websites, products and services and with demographic, advertisement, market and other analytics surveys. Standing alone, this information is not personal data; however, if UBISOFT combines any of this information with personal data, UBISOFT will treat this information as personal data pursuant to this Privacy Policy. You will find a list of our partners whose analytic tools and ad serving technologies are used in our Services at -url-. UBISOFT makes its best efforts to provide You with the links to our partners’ own privacy policies according to which their tools and technologies are used and when available the link to allow You to opt-out from their services	Other passively collected information.|||UBISOFT may on its own, or with the help of third party analytics tools, collect non-personally identifiable information concerning your and other users’ gaming hardware, habits, behaviours and use of our Services.|||UBISOFT collects such information to better adapt our Services to users’ interests and for a better quality of our Services.|||The information collected may contain the following, without limitation: device unique identity, including MAC address, console, mobile, tablet and console unique identifier or other device identifiers and settings, internet provider, carrier, operating system, hardware information, localization information, date and time spent on the Services, game scores, game metrics, achievements, rankings, time played and statistics, feature usage, advertising conversion rates, monetization rate, purchase history and other similar information.|||UBISOFT uses third party ad serving technologies that may collect information as a result of ad serving in the Services and that may display behavioural and non-behavioural advertisements on our Services.|||The information collected and used for the targeted advertising may contain the following, without limitation: age and gender, number views of an advertisement, device unique identity or other device identifiers and settings, information about Your use of the products and Services, Compatible Mobile Terminal, and other Internet sites (including third party web pages and mobile Internet sites) viewed by you (as well as date and time viewed), advertisement(s) served, the advertisement(s)’ in game location and length, and your response to the advertisement(s) (if any).|||The analytics tools and ad serving technologies may use server log files, web beacons, cookies, tracking pixels and other technologies to collect said information and may combine the information collected on other UBISOFT Services with information collected from other third party websites, products and services and with demographic, advertisement, market and other analytics surveys.|||Standing alone, this information is not personal data; however, if UBISOFT combines any of this information with personal data, UBISOFT will treat this information as personal data pursuant to this Privacy Policy.|||You will find a list of our partners whose analytic tools and ad serving technologies are used in our Services at -url-.|||UBISOFT makes its best efforts to provide You with the links to our partners’ own privacy policies according to which their tools and technologies are used and when available the link to allow You to opt-out from their services
14	2	Information passively collected by Ubisoft may be used in an aggregated form or to identify specific patterns of you or any individual.	Information passively collected by Ubisoft may be used in an aggregated form or to identify specific patterns of you or any individual.
15	1	The information you submit to our Services is collected and used by Ubisoft as set out in this Privacy Policy. In addition, Ubisoft may use the submitted information to send you advertising or promotional materials, including information about special rebates, promotional offers and other events of interest in accordance with your choices. We also use your personal information for our internal marketing and demographic studies, so we can constantly improve the Services we provide you and to better meet your needs. Additionally, Ubisoft may use your personal information outside of its Services to provide you with products, services or advertisements we believe may be of interest to you.	The information you submit to our Services is collected and used by Ubisoft as set out in this Privacy Policy.|||In addition, Ubisoft may use the submitted information to send you advertising or promotional materials, including information about special rebates, promotional offers and other events of interest in accordance with your choices.|||We also use your personal information for our internal marketing and demographic studies, so we can constantly improve the Services we provide you and to better meet your needs.|||Additionally, Ubisoft may use your personal information outside of its Services to provide you with products, services or advertisements we believe may be of interest to you.
16	1	From time to time, Ubisoft may employ third-party vendors, to collect personal information on Ubisoft's behalf for technical purposes. These third parties provide internal support to Ubisoft by operating some of the Services we provide you, including without limitation email services, payment processing within our Services or our online shop, and for online product fulfilment. If we solicit third parties to collect personal information on our behalf, we require all such third parties to comply with and adhere to this Privacy Policy. Although these third-party vendors, not Ubisoft, collect the personal information you provide when requesting such Services, they do not share your personal information with third parties nor will the personal information shared with such third parties be used for marketing purposes without your consent.	From time to time, Ubisoft may employ third-party vendors, to collect personal information on Ubisoft's behalf for technical purposes.|||These third parties provide internal support to Ubisoft by operating some of the Services we provide you, including without limitation email services, payment processing within our Services or our online shop, and for online product fulfilment.|||If we solicit third parties to collect personal information on our behalf, we require all such third parties to comply with and adhere to this Privacy Policy.|||Although these third-party vendors, not Ubisoft, collect the personal information you provide when requesting such Services, they do not share your personal information with third parties nor will the personal information shared with such third parties be used for marketing purposes without your consent.
17	7	Please be aware that your personal information may be transferred to, stored in, and processed in Canada. The data protection and other laws of Canada have been recognised by the European Commission as providing an adequate level of protection for processing personal data. Please be aware that Ubisoft may duplicate your information within Ubisoft’s own databases for technical purposes or for the uses described in this Privacy Policy.	Please be aware that your personal information may be transferred to, stored in, and processed in Canada.|||The data protection and other laws of Canada have been recognised by the European Commission as providing an adequate level of protection for processing personal data.|||Please be aware that Ubisoft may duplicate your information within Ubisoft’s own databases for technical purposes or for the uses described in this Privacy Policy.
18	3	Ubisoft may share your personal information among the Ubisoft group of companies and with its technical partners described in Section 7. This sharing enables us to provide you with information about our Services, which might interest you. To the extent that our corporate affiliates and/or technical partners have access to your information, they will follow practices that are at least as restrictive as the practices described in this Privacy Policy.	Ubisoft may share your personal information among the Ubisoft group of companies and with its technical partners described in Section 7.|||This sharing enables us to provide you with information about our Services, which might interest you.|||To the extent that our corporate affiliates and/or technical partners have access to your information, they will follow practices that are at least as restrictive as the practices described in this Privacy Policy.
19	3	From time to time, we are approached by companies and organizations that provide products or services that we believe may be of interest to you, and we may share your personal information with such third parties in accordance with your choices and after we received your consent. We strive to limit use of the information you provide to those offers that we think you would appreciate receiving. If you do not wish to receive information from these third party partners, you can opt out at any time, including at the time of registration, by sending a request to us (see Section 13) or by modifying our preferences in your Account preferences page.	From time to time, we are approached by companies and organizations that provide products or services that we believe may be of interest to you, and we may share your personal information with such third parties in accordance with your choices and after we received your consent.|||We strive to limit use of the information you provide to those offers that we think you would appreciate receiving.|||If you do not wish to receive information from these third party partners, you can opt out at any time, including at the time of registration, by sending a request to us (see Section 13) or by modifying our preferences in your Account preferences page.
20	3	Should you decide to link your Ubisoft Account to your console manufacturer gaming account Ubisoft will only exchange information regarding your age, country, date of birth and email with such parties. No other personal information such as your credit card information or address will be exchanged with such parties.	Should you decide to link your Ubisoft Account to your console manufacturer gaming account Ubisoft will only exchange information regarding your age, country, date of birth and email with such parties.|||No other personal information such as your credit card information or address will be exchanged with such parties.
21	3	"Custom Content. We may work with trusted marketing partners to bring you more useful and interesting advertising content on our Services and on third party sites and services.  We may do this by sharing or matching the personal information you have provided us on the Services with the information (which may include personal information) you have provided third parties marketing partners.  If you do not want Ubisoft to match your personal information with trusted partners in order for us to tailor ads or other custom content for you on our Services and third party sites and services, please do not check the box labelled ""Share my information with selected third parties"" at the moment of creation of your Account or within your Account settings at any time.  If you do not check the box related to this Custom Content or otherwise opt-out from this Custom Content by unchecking the box within your Account settings at any time, Ubisoft will no longer share your personal information with partners to tailor ads or other custom content for you following the date of your request.  Please note that opting-out from the Custom Content will not change the behavior of third parties collecting information on the Services. Please see how to opt-out of third party collection in ""Other passively collected information"" Section above. The list of such trusted marketing partners is available at legal.ubi.com/active-sharing/"	"Custom Content.|||We may work with trusted marketing partners to bring you more useful and interesting advertising content on our Services and on third party sites and services.|||We may do this by sharing or matching the personal information you have provided us on the Services with the information (which may include personal information) you have provided third parties marketing partners.|||If you do not want Ubisoft to match your personal information with trusted partners in order for us to tailor ads or other custom content for you on our Services and third party sites and services, please do not check the box labelled ""Share my information with selected third parties"" at the moment of creation of your Account or within your Account settings at any time.|||If you do not check the box related to this Custom Content or otherwise opt-out from this Custom Content by unchecking the box within your Account settings at any time, Ubisoft will no longer share your personal information with partners to tailor ads or other custom content for you following the date of your request.|||Please note that opting-out from the Custom Content will not change the behavior of third parties collecting information on the Services.|||Please see how to opt-out of third party collection in ""Other passively collected information"" Section above.|||The list of such trusted marketing partners is available at legal.ubi.com/active-sharing/"
22	4	Once you register to our Services and/or purchase one of our products, Ubisoft will send you promotional communications about its own products and Services that you may be interested in by email. Along with every communication sent to you, Ubisoft gives you the opportunity to discontinue receiving future communications from Ubisoft.	Once you register to our Services and/or purchase one of our products, Ubisoft will send you promotional communications about its own products and Services that you may be interested in by email.|||Along with every communication sent to you, Ubisoft gives you the opportunity to discontinue receiving future communications from Ubisoft.
23	4	If you do not want Ubisoft to send you communications about special rebates or promotional offers, you may opt-out from receiving these communications at the time your personal information is collected or by contacting us by:	If you do not want Ubisoft to send you communications about special rebates or promotional offers, you may opt-out from receiving these communications at the time your personal information is collected or by contacting us by:
25	4	post at Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language)	post at Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language)
26	4	If for any reason you wish to question, view, correct or delete the personal information collected about you by Ubisoft or its technical partners, please send an email to -email- or write to Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language). We will be happy to review, update or remove information as appropriate. However, we may still retain information in our files to resolve disputes, enforce our agreements, due to technical or legal requirements or matters related to security, integrity or operation of our Services.	If for any reason you wish to question, view, correct or delete the personal information collected about you by Ubisoft or its technical partners, please send an email to -email- or write to Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language).|||We will be happy to review, update or remove information as appropriate.|||However, we may still retain information in our files to resolve disputes, enforce our agreements, due to technical or legal requirements or matters related to security, integrity or operation of our Services.
27	8	Unless stated specifically to the contrary on the applicable Ubisoft Service, Ubisoft’s Services are intended for a general audience. Ubisoft encourages parents and guardians to spend time online with their children. We urge parents to instruct their children to never give out their real names, addresses or phone numbers, without permission, when using the Internet. We recognize a special obligation to protect personal information obtained from young children. Therefore, in order for children under 12 years old to register on any Service, we require that the child provides the email address, or other contact information, of a parent or guardian who will be contacted by Ubisoft in order to inform, confirm, modify or refuse his or her child’s registration. Ubisoft reserves the right to request written proof of the parent or guardian’s authorization at any time. Until the parent or guardian answered to Ubisoft’s email pursuant to Ubisoft’s instructions, the child’s use of the Services will be limited.	Unless stated specifically to the contrary on the applicable Ubisoft Service, Ubisoft’s Services are intended for a general audience.|||Ubisoft encourages parents and guardians to spend time online with their children.|||We urge parents to instruct their children to never give out their real names, addresses or phone numbers, without permission, when using the Internet.|||We recognize a special obligation to protect personal information obtained from young children.|||Therefore, in order for children under 12 years old to register on any Service, we require that the child provides the email address, or other contact information, of a parent or guardian who will be contacted by Ubisoft in order to inform, confirm, modify or refuse his or her child’s registration.|||Ubisoft reserves the right to request written proof of the parent or guardian’s authorization at any time.|||Until the parent or guardian answered to Ubisoft’s email pursuant to Ubisoft’s instructions, the child’s use of the Services will be limited.
28	5	We take your privacy and the security of your personal information very seriously. To protect your personal information, Ubisoft maintains appropriate safeguards to ensure the security, integrity and privacy of the information you have provided. We use robust security measures to protect personal information from loss, misuse and alteration. We use industry-standard practices such as encrypted communications, physically secured rooms, firewalls and password protection systems to safeguard the confidentiality of your personal information.	We take your privacy and the security of your personal information very seriously.|||To protect your personal information, Ubisoft maintains appropriate safeguards to ensure the security, integrity and privacy of the information you have provided.|||We use robust security measures to protect personal information from loss, misuse and alteration.|||We use industry-standard practices such as encrypted communications, physically secured rooms, firewalls and password protection systems to safeguard the confidentiality of your personal information.
29	5	In addition, we take reasonable steps to assure that third parties who collect personal information on our behalf provide sufficient protection of personal information in addition to requiring their compliance with this Privacy Policy at all times.	In addition, we take reasonable steps to assure that third parties who collect personal information on our behalf provide sufficient protection of personal information in addition to requiring their compliance with this Privacy Policy at all times.
30	10	Any questions or complaints or comments about this Privacy Policy or our use of your personal information, please contact our Privacy Policy Administrator by: ; email at -email- or, ; post at Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language)	Any questions or complaints or comments about this Privacy Policy or our use of your personal information, please contact our Privacy Policy Administrator by: ; email at -email- or, ; post at Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language)
31	0	"Kiary games (""us"", ""we"", or ""our"") operates Tiny Room Stories: Mystery Town mobile application (the ""Application"")."	"Kiary games (""us"", ""we"", or ""our"") operates Tiny Room Stories: Mystery Town mobile application (the ""Application"")."
32	0	This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Applicataion and the choices you have associated with that data.	This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Applicataion and the choices you have associated with that data.
33	1	We collect several different types of information for various purposes to provide and improve our Application to you.	We collect several different types of information for various purposes to provide and improve our Application to you.
34	1	Among the types of Personal Data that this Application collects, by itself or through third parties, there are: Usage Data, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and geographic position.	Among the types of Personal Data that this Application collects, by itself or through third parties, there are: Usage Data, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and geographic position.
35	1	Personal Data is collected for the following purposes and using the following services:	Personal Data is collected for the following purposes and using the following services:
36	1	This type of service allows User Data to be utilized for advertising communication purposes displayed in the form interstitial and video advertisements on this Application, possibly based on User interests. This does not mean that all Personal Data are used for this purpose. Some of the services listed below may use Cookies to identify Users or they may use the behavioral retargeting technique, i.e. displaying ads tailored to the User’s interests and behavior, including those detected outside this Application. For more information, please check the privacy policies of the relevant services.	This type of service allows User Data to be utilized for advertising communication purposes displayed in the form interstitial and video advertisements on this Application, possibly based on User interests.|||This does not mean that all Personal Data are used for this purpose.|||Some of the services listed below may use Cookies to identify Users or they may use the behavioral retargeting technique, i.e.|||displaying ads tailored to the User’s interests and behavior, including those detected outside this Application.|||For more information, please check the privacy policies of the relevant services.
37	1	The services contained in this section enable Us to monitor and analyze game data and can be used to keep track of User behavior.	The services contained in this section enable Us to monitor and analyze game data and can be used to keep track of User behavior.
38	1	Unity Analytics is an analytics service provided by Unity Technologies ApS. Personal Data collected: Usage Data and various types of Data as specified in the privacy policy of the service.	Unity Analytics is an analytics service provided by Unity Technologies ApS.|||Personal Data collected: Usage Data and various types of Data as specified in the privacy policy of the service.
39	1	Google Analytics for Firebase is an analytics service provided by Google Inc. In order to understand Google's use of Data, consult Google's partner policy. Firebase Analytics may share Data with other tools provided by Firebase, such as Crash Reporting, Authentication, Remote Config or Notifications. The User may check this privacy policy to find a detailed explanation about the other tools used by the Us. This Application uses identifiers for mobile devices (including Android Advertising ID or Advertising Identifier for iOS, respectively) and technologies similar to cookies to run the Firebase Analytics service. Personal Data collected: Cookies, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and Usage Data.	Google Analytics for Firebase is an analytics service provided by Google Inc.|||In order to understand Google's use of Data, consult Google's partner policy.|||Firebase Analytics may share Data with other tools provided by Firebase, such as Crash Reporting, Authentication, Remote Config or Notifications.|||The User may check this privacy policy to find a detailed explanation about the other tools used by the Us.|||This Application uses identifiers for mobile devices (including Android Advertising ID or Advertising Identifier for iOS, respectively) and technologies similar to cookies to run the Firebase Analytics service.|||Personal Data collected: Cookies, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and Usage Data.
