word,weight
firebase,0.365148372
described,0.400320385
retain,0.471404521
marketing,0.481125224
configuration,0.596039561
notification,0.589255651
feel,0.353553391
operating,0.577350269
facebook,0.547722558
ad,0.204124145
third,0.129099445
pages,0.387298335
youre,0.25819889
business,0.231455025
crash,0.387298335
us,0
interests,0.298142397
value,0.387298335
required,0.25
provide,0.43643578
collect,0.696310624
great,0.25819889
sign,0.288675135
articles,0.612372436
via,0.333333333
activity,0.416666667
assigned,0.365148372
space,0.645497224
convenience,0.692820323
general,0.481125224
notifications,0.577350269
points,0.471404521
defined,0.348155312
generally,0.480384461
level,0.384900179
mytarget,0.273861279
api,0.5
noted,0.387298335
provided,0.365148372
suggest,0.087038828
date,0.288675135
user,0.144337567
touch,0.387298335
decide,0.456435465
vpn,0.333333333
requests,0.166666667
contacting,0.649519053
lists,0.21821789
relies,0.40824829
notify,0.353553391
google,0.365148372
relevant,0.456435465
learn,0.516397779
account,0.673575314
modify,0.353553391
crashlytics,0.521749195
contacts,0.583333333
participate,0.596039561
preferences,0.461880215
malicious,0.696310624
feature,0.288675135
serve,0.21821789
six,0.166666667
approach,0.583333333
stored,0.23570226
mintegral,0.577350269
whenever,0.3086067
parties,0.43643578
always,0.306186218
assistant,0.264906471
controller,0.577350269
measure,0.384900179
childrens,0.577350269
usersubmitted,0.251976315
email,0.645497224
appmetrica,0.694365075
would,0.25819889
report,0.306186218
used,0.144337567
protected,0.480384461
elements,0.46291005
crashes,0.384900179
checks,0.510310363
adjust,0.11785113
aggregate,0.264906471
categories,0.583333333
inapp,0.545544726
statement,0.350070021
targeted,0.25
may,0.333333333
helps,0.387298335
last,0.288675135
form,0.288675135
online,0.612372436
requested,0.223606798
mode,0.433012702
servers,0.160128154
information,0.560112034
browser,0.19245009
persist,0.288675135
compressed,0.540061725
children,0.612372436
trust,0
randomly,0.510310363
management,0.544331054
languages,0.400320385
change,0.589255651
code,0.577350269
technologies,0.649519053
countries,0.577350269
twitter,0.160128154
admob,0.387298335
password,0.273861279
includes,0.612372436
included,0.547722558
link,0.433012702
officer,0.481125224
desktop,0.327326835
pending,0.481125224
promoting,0.522232968
therefore,0.280056017
speed,0.327326835
content,0.522232968
advertising,0.400320385
recognize,0.609271796
personally,0.583333333
june,0.288675135
reject,0.40824829
system,0.204124145
website,0.288675135
originating,0.440958552
encourage,0.609271796
applies,0.577350269
enter,0.327326835
long,0.433012702
asterisk,0.273861279
youve,0.25819889
people,0.547722558
ensure,0.306186218
mini,0.471404521
page,0.433012702
allows,0.40824829
builtin,0.384900179
using,0.25819889
menu,0.433012702
profile,0.545544726
anonymous,0.480384461
